[media-api-0.0.0.0-9101] 2021-05-07 11:55:52.511 | INFO 13816 [background-preinit] [] org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.7.Final
[media-api-0.0.0.0-9101] 2021-05-07 11:55:52.557 | INFO 13816 [main] [] com.alibaba.boot.nacos.config.autoconfigure.NacosConfigApplicationContextInitializer [Nacos Config Boot] : The preload configuration is not enabled
[media-api-0.0.0.0-9101] 2021-05-07 11:55:52.564 | INFO 13816 [main] [] com.asl.mp.MpMediaApiApplication Starting MpMediaApiApplication on DESKTOP-2SGBB5K with PID 13816 (C:\Users\anson\IdeaProjects\mp\mp-media-api\target\classes started by anson in C:\Users\anson\IdeaProjects\mp)
[media-api-0.0.0.0-9101] 2021-05-07 11:55:52.566 | INFO 13816 [main] [] com.asl.mp.MpMediaApiApplication The following profiles are active: dev
[media-api-0.0.0.0-9101] 2021-05-07 11:55:54.364 | WARN 13816 [main] [] org.mybatis.spring.mapper.ClassPathMapperScanner No MyBatis mapper was found in '[com.asl.mp]' package. Please check your configuration.
[media-api-0.0.0.0-9101] 2021-05-07 11:55:54.927 | INFO 13816 [main] [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 9101 (http)
[media-api-0.0.0.0-9101] 2021-05-07 11:55:54.937 | INFO 13816 [main] [] org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-9101"]
[media-api-0.0.0.0-9101] 2021-05-07 11:55:54.938 | INFO 13816 [main] [] org.apache.catalina.core.StandardService Starting service [Tomcat]
[media-api-0.0.0.0-9101] 2021-05-07 11:55:54.938 | INFO 13816 [main] [] org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.43]
[media-api-0.0.0.0-9101] 2021-05-07 11:55:55.029 | INFO 13816 [main] [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
[media-api-0.0.0.0-9101] 2021-05-07 11:55:55.029 | INFO 13816 [main] [] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 2322 ms
[media-api-0.0.0.0-9101] 2021-05-07 11:55:55.287 | WARN 13816 [main] [] org.springframework.boot.actuate.endpoint.EndpointId Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
[media-api-0.0.0.0-9101] 2021-05-07 11:55:55.748 | INFO 13816 [main] [] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
[media-api-0.0.0.0-9101] 2021-05-07 11:55:56.032 | INFO 13816 [main] [] com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure Init DruidDataSource
[media-api-0.0.0.0-9101] 2021-05-07 11:55:56.135 | INFO 13816 [main] [] com.alibaba.druid.pool.DruidDataSource {dataSource-1} inited
[media-api-0.0.0.0-9101] 2021-05-07 11:55:56.917 | INFO 13816 [main] [] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver Exposing 2 endpoint(s) beneath base path '/actuator'
[media-api-0.0.0.0-9101] 2021-05-07 11:55:56.971 | INFO 13816 [main] [] org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-9101"]
[media-api-0.0.0.0-9101] 2021-05-07 11:55:56.990 | INFO 13816 [main] [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 9101 (http) with context path ''
[media-api-0.0.0.0-9101] 2021-05-07 11:55:57.006 | INFO 13816 [main] [] com.alibaba.nacos.spring.context.event.LoggingNacosConfigMetadataEventListener Nacos Config Metadata : dataId='media-api', groupId='mp', beanName='mpMediaApiApplication', bean='null', beanType='class com.asl.mp.MpMediaApiApplication', annotatedElement='null', xmlResource='null', nacosProperties='{maxRetry=${nacos.config.nacos.${nacos.maxRetry:}}, configRetryTime=${nacos.config.nacos.${nacos.configRetryTime:}}, serverAddr=192.168.180.3:8848, encode=UTF-8, configLongPollTimeout=${nacos.config.nacos.${nacos.configLongPollTimeout:}}}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}}', source='org.springframework.core.type.StandardAnnotationMetadata@2a3888c1', timestamp='1620359754050'
[media-api-0.0.0.0-9101] 2021-05-07 11:55:57.029 | INFO 13816 [main] [] com.asl.mp.MpMediaApiApplication Started MpMediaApiApplication in 5.337 seconds (JVM running for 6.589)
