[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:52.799 | INFO 14080 [background-preinit] [] org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.7.Final
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:52.840 | INFO 14080 [main] [] com.alibaba.boot.nacos.config.autoconfigure.NacosConfigApplicationContextInitializer [Nacos Config Boot] : The preload configuration is not enabled
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:52.847 | INFO 14080 [main] [] com.asl.mp.MpMediaDataprocessApplication Starting MpMediaDataprocessApplication on DESKTOP-2SGBB5K with PID 14080 (C:\Users\anson\IdeaProjects\mp\mp-media-dataprocess\target\classes started by anson in C:\Users\anson\IdeaProjects\mp)
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:52.849 | INFO 14080 [main] [] com.asl.mp.MpMediaDataprocessApplication The following profiles are active: dev
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:54.143 | WARN 14080 [main] [] com.alibaba.nacos.spring.core.env.AnnotationNacosPropertySourceBuilder There is no content for NacosPropertySource from dataId[media-dataprocess] , groupId[mp] , properties[{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}}].
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:54.255 | INFO 14080 [main] [] org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:54.348 | INFO 14080 [main] [] org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 85ms. Found 1 Elasticsearch repository interfaces.
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:54.356 | INFO 14080 [main] [] org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:54.365 | INFO 14080 [main] [] org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 7ms. Found 0 Reactive Elasticsearch repository interfaces.
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:55.045 | INFO 14080 [main] [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 9102 (http)
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:55.056 | INFO 14080 [main] [] org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-9102"]
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:55.058 | INFO 14080 [main] [] org.apache.catalina.core.StandardService Starting service [Tomcat]
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:55.058 | INFO 14080 [main] [] org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.43]
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:55.165 | INFO 14080 [main] [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/dataprocess] Initializing Spring embedded WebApplicationContext
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:55.166 | INFO 14080 [main] [] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 2223 ms
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:56.566 | INFO 14080 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version Spring Data Elasticsearch: 4.0.7.RELEASE
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:56.567 | INFO 14080 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version Elasticsearch Client in build: 7.6.2
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:56.567 | INFO 14080 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version Elasticsearch Client used: 7.6.2
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:56.567 | INFO 14080 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version Elasticsearch cluster: 7.7.0
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:56.567 | WARN 14080 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version mismatch in between Elasticsearch Client and Cluster: 7.6.2 - 7.7.0
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:57.191 | INFO 14080 [main] [] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:57.545 | INFO 14080 [main] [] org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-9102"]
[media-dataprocess-0.0.0.0-9102] 2021-05-07 11:46:57.559 | INFO 14080 [main] [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 9102 (http) with context path '/dataprocess'
