[media-api-0.0.0.0-9101] 2021-05-06 18:53:22.447 | INFO 21736 [background-preinit] [] org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.7.Final
[media-api-0.0.0.0-9101] 2021-05-06 18:53:22.471 | INFO 21736 [main] [] com.alibaba.boot.nacos.config.autoconfigure.NacosConfigApplicationContextInitializer [Nacos Config Boot] : The preload configuration is not enabled
[media-api-0.0.0.0-9101] 2021-05-06 18:53:22.476 | INFO 21736 [main] [] com.asl.mp.MpMediaApplicationTests Starting MpMediaApplicationTests on DESKTOP-2SGBB5K with PID 21736 (started by anson in C:\Users\anson\IdeaProjects\mp\mp-media-api)
[media-api-0.0.0.0-9101] 2021-05-06 18:53:22.478 | INFO 21736 [main] [] com.asl.mp.MpMediaApplicationTests The following profiles are active: dev
[media-api-0.0.0.0-9101] 2021-05-06 18:53:26.443 | INFO 21736 [main] [] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
[media-api-0.0.0.0-9101] 2021-05-06 18:53:27.431 | WARN 21736 [main] [] org.springframework.boot.actuate.endpoint.EndpointId Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
[media-api-0.0.0.0-9101] 2021-05-06 18:53:27.636 | INFO 21736 [main] [] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver Exposing 2 endpoint(s) beneath base path '/actuator'
[media-api-0.0.0.0-9101] 2021-05-06 18:53:27.765 | INFO 21736 [main] [] com.alibaba.nacos.spring.context.event.LoggingNacosConfigMetadataEventListener Nacos Config Metadata : dataId='media-api', groupId='mp', beanName='mpMediaApiApplication', bean='null', beanType='class com.asl.mp.MpMediaApiApplication', annotatedElement='null', xmlResource='null', nacosProperties='{maxRetry=${nacos.config.nacos.${nacos.maxRetry:}}, configRetryTime=${nacos.config.nacos.${nacos.configRetryTime:}}, serverAddr=192.168.180.3:8848, encode=UTF-8, configLongPollTimeout=${nacos.config.nacos.${nacos.configLongPollTimeout:}}}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}}', source='org.springframework.core.type.StandardAnnotationMetadata@107ed6fc', timestamp='1620298404521'
[media-api-0.0.0.0-9101] 2021-05-06 18:53:27.844 | INFO 21736 [main] [] com.asl.mp.MpMediaApplicationTests Started MpMediaApplicationTests in 6.04 seconds (JVM running for 7.635)
[media-api-0.0.0.0-9101] 2021-05-06 18:53:28.440 | INFO 21736 [SpringContextShutdownHook] [] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor'
[media-api-0.0.0.0-9101] 2021-05-06 18:53:28.448 | INFO 21736 [SpringContextShutdownHook] [] com.alibaba.nacos.spring.context.annotation.config.NacosValueAnnotationBeanPostProcessor true was destroying!
[media-api-0.0.0.0-9101] 2021-05-06 18:53:28.448 | INFO 21736 [SpringContextShutdownHook] [] com.alibaba.nacos.spring.context.annotation.config.NacosValueAnnotationBeanPostProcessor class com.alibaba.nacos.spring.context.annotation.config.NacosValueAnnotationBeanPostProcessor was destroying!
[media-api-0.0.0.0-9101] 2021-05-06 18:53:28.449 | INFO 21736 [SpringContextShutdownHook] [] com.alibaba.nacos.spring.beans.factory.annotation.AnnotationNacosInjectedBeanPostProcessor com.alibaba.nacos.spring.factory.DelegatingNamingService@13f560e1 was destroying!
[media-api-0.0.0.0-9101] 2021-05-06 18:53:28.449 | INFO 21736 [SpringContextShutdownHook] [] com.alibaba.nacos.spring.beans.factory.annotation.AnnotationNacosInjectedBeanPostProcessor class com.alibaba.nacos.spring.beans.factory.annotation.AnnotationNacosInjectedBeanPostProcessor was destroying!
