[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:42.003 | INFO 16316 [background-preinit] [] org.hibernate.validator.internal.util.Version HV000001: Hibernate Validator 6.1.7.Final
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:42.020 | INFO 16316 [main] [] com.alibaba.boot.nacos.config.autoconfigure.NacosConfigApplicationContextInitializer [Nacos Config Boot] : The preload configuration is not enabled
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:42.025 | INFO 16316 [main] [] com.asl.mp.MpMediaDataprocessApplicationTests Starting MpMediaDataprocessApplicationTests on DESKTOP-2SGBB5K with PID 16316 (started by anson in C:\Users\anson\IdeaProjects\mp\mp-media-dataprocess)
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:42.026 | INFO 16316 [main] [] com.asl.mp.MpMediaDataprocessApplicationTests The following profiles are active: dev
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:43.638 | WARN 16316 [main] [] com.alibaba.nacos.spring.core.env.AnnotationNacosPropertySourceBuilder There is no content for NacosPropertySource from dataId[media-dataprocess] , groupId[mp] , properties[{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}}].
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:43.761 | INFO 16316 [main] [] org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:43.899 | INFO 16316 [main] [] org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 127ms. Found 1 Elasticsearch repository interfaces.
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:43.918 | INFO 16316 [main] [] org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:43.947 | INFO 16316 [main] [] org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 17ms. Found 0 Reactive Elasticsearch repository interfaces.
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:47.557 | INFO 16316 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version Spring Data Elasticsearch: 4.0.7.RELEASE
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:47.558 | INFO 16316 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version Elasticsearch Client in build: 7.6.2
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:47.558 | INFO 16316 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version Elasticsearch Client used: 7.6.2
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:47.558 | INFO 16316 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version Elasticsearch cluster: 7.7.0
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:47.559 | WARN 16316 [main] [] org.springframework.data.elasticsearch.support.VersionInfo Version mismatch in between Elasticsearch Client and Cluster: 7.6.2 - 7.7.0
[media-dataprocess-0.0.0.0-9102] 2021-05-06 18:53:49.022 | INFO 16316 [main] [] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
